cid,name,times
1,照相機,0
1,筆記本,0
1,平板電腦,0
1,鍵盤,0
1,懷錶,0
1,膝上型計算機,0
1,相機,0
1,攝影機,0
1,移動電話,0
1,手錶,0
1,膝上型電腦,0
1,手提電話,0
1,蜂窩式移動電話,0
1,手提電腦,0
1,筆記本電腦,0
1,加法器,0
1,手機,0
1,便攜式攝影機,0
1,電腦,0
1,加數器,0
1,滑鼠,0
1,加法機,0
1,鼠標,0
1,電子計算機,0
1,手提計算機,0
1,算術計算機,0
1,計算機,0
1,計算器,0
1,加法計算器,0
1,大哥大,0
2,follow,0
2,take in,0
2,cellular phone,0
2,pad of paper,0
2,laptop computer,0
2,tv camera,0
2,sentinel,0
2,lozenge,0
2,pad,0
2,data processor,0
2,watch out,0
2,lookout,0
2,mobile phone,0
2,ascertain,0
2,calculating machine,0
2,black eye,0
2,catch,0
2,picket,0
2,scout,0
2,watch,0
2,determine,0
2,cell,0
2,learn,0
2,figurer,0
2,check,0
2,sneak,0
2,laptop,0
2,spotter,0
2,view,0
2,lookout man,0
2,information processing system,0
2,look out,0
2,vigil,0
2,pill,0
2,calculator,0
2,cellphone,0
2,camera,0
2,observe,0
2,shiner,0
2,keyboard,0
2,look on,0
2,computer mouse,0
2,pussyfoot,0
2,camcorder,0
2,tab,0
2,computing machine,0
2,photographic camera,0
2,see,0
2,keep an eye on,0
2,estimator,0
2,television camera,0
2,tablet,0
2,computing device,0
2,mouse,0
2,watch over,0
2,sentry,0
2,reckoner,0
2,cell phone,0
2,ticker,0
2,cellular telephone,0
2,find out,0
2,creep,0
2,computer,0
2,electronic computer,0
7,發熱外套,0
8,heat generating jacket,0
9,噴霧器,0
9,噴霧罐,0
9,霧化器,0
9,自動體外心臟去纖顫器（AED）,0
9,持續氣道正壓呼吸器（CPAP）,0
9,氣噴器,0
10,Nebulizer,0
10,Automated External Defibrillators (AED),0
10,atomiser,0
10,atomizer,0
10,nebulizer,0
10,Continuous Positive Airway Pressure (CPAP),0
10,spray,0
10,nebuliser,0
10,sprayer,0
13,電子雪茄,0
13,電子煙,0
13,電子香煙,0
13,個人噴霧器,0
13,電子尼古丁輸送系統,0
13,電子煙斗,0
14,e-cigar,0
14,electronic nicotine delivery system,0
14,e-cig,0
14,e-cigarette,0
14,personal vaporizer,0
14,e-pipe,0
15,智能行李,0
16,Smart luggage,0
17,行動電源,0
17,移動電源,0
17,充電寶,0
18,power bank,0
18,power banks,0
18,power source,0
21,輪椅,0
22,wheelchair,0
23,打火機,0
23,點火器,0
23,電子打火機,0
23,香煙打火機,0
24,low-cal,0
24,Cigarette Lighter,0
24,cigar lighter,0
24,promiscuous,0
24,barge,0
24,unaccented,0
24,calorie-free,0
24,scant,0
24,tripping,0
24,hoy,0
24,ignitor,0
24,sluttish,0
24,short,0
24,clean,0
24,unclouded,0
24,loose,0
24,clear,0
24,lite,0
24,Battery-powered lighter,0
24,easy,0
24,wakeful,0
24,abstemious,0
24,light,0
24,igniter,0
24,light-headed,0
24,faint,0
24,light-colored,0
24,swooning,0
24,pocket lighter,0
24,wanton,0
24,lightsome,0
24,lightheaded,0
24,cigarette lighter,0
24,weak,0
24,flatboat,0
24,idle,0
24,lighter,0
25,火柴,0
25,火柴桿,0
26,match,0
27,酒,0
27,香槟,0
27,啤酒,0
27,酒精,0
27,乙醇,0
27,酒精飲料,0
27,葡萄酒,0
27,醇,0
28,wine,0
28,beer,0
28,alcoholic beverage,0
28,alcohol,0
28,intoxicant,0
28,inebriant,0
28,Champagne-Ardenne,0
28,alcoholic drink,0
28,vino,0
28,Champagne,0
28,champagne,0
28,wine-coloured,0
28,wine-colored,0
28,bubbly,0
29,氧氣瓶,0
29,空氣瓶,0
30,cylinders of air,0
30,cylinders of oxygen,0
33,救生背心,0
33,救生衣,0
34,cork jacket,0
34,life vest,0
34,life jacket,0
35,小型非易燃氣罐,0
36,Non-flammable small cartridge,0
37,水銀溫度計,0
37,溫度計,0
38,clinical thermometer,0
38,mercury-in-glass clinical thermometer,0
38,medical thermometer,0
38,thermometer,0
39,foundation liquid,0
39,coldcream,0
39,toiletries,0
39,nebuliser,0
39,salve,0
39,shower gel,0
39,cologne,0
39,emollient,0
39,body of water,0
39,shampoo,0
39,cold cream,0
39,cologne water,0
39,cream off,0
