cid,category,carry_on,checked,names,detail,times
1,內含鋰金屬或鋰離子電池芯或電池的便攜式電子裝置,1,1,照相機、筆記本、平板電腦、鍵盤、懷錶、膝上型計算機、相機、攝影機、移動電話、手錶、膝上型電腦、手提電話、蜂窩式移動電話、手提電腦、筆記本電腦、加法器、手機、便攜式攝影機、電腦、加數器、滑鼠、加法機、鼠標、電子計算機、手提計算機、算術計算機、計算機、計算器、加法計算器、大哥大,內含鋰金屬或鋰離子電池芯或電池的便攜式電子裝置（例如手錶、計算機、相機、手機、手提/平板電腦，便攜式攝錄機）<br>- 如果放在寄艙行李，必須採取措施防止裝置被意外啟動、保護裝置不受損壞，及裝置必須完全關閉（不在睡眠或休眠模式）<br>- 每一個電池的限制：<br>* 鋰金屬電池的鋰含量不超過2 克; <br>* 鋰離子電池的額定瓦特小時值不得超過100 Wh,0
2,Portable electronic devices containing lithium metal or lithiumion cells or batteries,1,1,"follow, take in, cellular phone, pad of paper, laptop computer, tv camera, sentinel, lozenge, pad, data processor, watch out, lookout, mobile phone, ascertain, calculating machine, black eye, catch, picket, scout, watch, determine, cell, learn, figurer, check, sneak, laptop, spotter, view, lookout man, information processing system, look out, vigil, pill, calculator, cellphone, camera, observe, shiner, keyboard, look on, computer mouse, pussyfoot, camcorder, tab, computing machine, photographic camera, see, keep an eye on, estimator, television camera, tablet, computing device, mouse, watch over, sentry, reckoner, cell phone, ticker, cellular telephone, find out, creep, computer, electronic computer","Portable electronic devices containing lithium metal or lithium ion cells or batteries (such as watches, calculating machines, cameras, cellular phones, laptop/tablet computers, camcorders)<br>-If devices are carried in checked baggage, measures must be taken to prevent unintentional activation, to protect the devices from damage, and the devices must be completely switched off (not in sleep or hibernation mode)<br>-Each battery must not exceed the following:<br>    for lithium metal batteries, a lithium content of 2 g; or<br>    for lithium ion batteries, a Watt-hour rating of 100 Wh",0
3,內含額定瓦特小時值超過100 Wh 但不超過160 Wh 的鋰離子電池的便攜式電子裝置,1,1,,內含額定瓦特小時值超過 100 Wh 但不超過 160 Wh 的鋰離子電池的便攜式電子裝置<br>- 如果放在寄艙行李，必須採取措施防止裝置被意外啟動、保護裝置不受損壞，及裝置必須完全關閉（不在睡眠或休眠模式）,0
4,Portable electronic devices containing lithium ion batteries exceeding a Watt-hour rating of 100 Wh but not exceeding 160 Wh,1,1,,"Portable electronic devices containing lithium ion batteries exceeding a Watt-hour rating of 100 Wh but not exceeding 160 Wh<br>- If devices are carried in checked baggage, measures must be taken to prevent unintentional activation, to protect the devices from damage, and the devices must be completely switched off (not in sleep or hibernation mode)",0
5,額定瓦特小時值超過 160 Wh 的鋰離子電池,0,0,,一律禁止攜帶,0
6,lithium ion batteries exceeding a Watt-hour rating of 160 Wh,0,0,,Portable electronic devices containing lithium ion batteries exceeding a Watt-hour rating of 160 Wh are forbidden,0
7,內含鋰金屬電池芯或電池，或鋰離子電池芯或電池，可作發熱功能的便攜式電子裝置,1,1,發熱外套,內含鋰金屬電池芯或電池，或鋰離子電池芯或電池，可作發熱功能的便攜式電子裝置（例如發熱外套）<br>-便攜式電子裝置中的電池和發熱部件必須分隔，並移除電池、發熱部件或其他部件。<br>-如要攜帶便攜式電子裝置的備用電池，請參閱以下「備用電池」部分。,0
8,Portable electronic devices containing lithium metal or lithium ion cells or batteries capable of generating heat,1,1,heat generating jacket,"Portable electronic devices containing lithium metal or lithium ion cells or batteries capable of generating heat (such as heat generating jacket)<br>-Batteries and heating elements must be isolated in portable electronic devices by removal of the heating element, battery or other components.<br>-Please see the “Spare Batteries” section below for carriage of spare batteries removed from the portable electronic devices.",0
9,內含不超過 2 克鋰金屬電池芯或電池，或不超過 100 Wh 的的鋰離子電池芯或電池的便攜式醫療電子裝置,1,1,噴霧器、噴霧罐、霧化器、自動體外心臟去纖顫器（AED）、持續氣道正壓呼吸器（CPAP）、氣噴器,內含不超過 2 克鋰金屬電池芯或電池，或不超過 100 Wh 的的鋰離子電池芯或電池的便攜式醫療電子裝置 (例如自動體外心臟去<br>纖顫器（AED）、噴霧器、持續氣道正壓呼吸器（CPAP）等)<br>-乘客為醫療用途攜帶<br>如要攜帶便攜式醫療電子裝置的備用電池，請參閱以下「備用電池」,0
10,"Portable medical electronic devices containing lithium metal cells or batteries not exceeding 2 g, or lithium ion cells or batteries not exceeding 100 Wh",1,1,"Nebulizer, Automated External Defibrillators (AED), atomiser, atomizer, nebulizer, Continuous Positive Airway Pressure (CPAP), spray, nebuliser, sprayer","Portable medical electronic devices containing lithium metal cells or batteries not exceeding 2 g, or lithium ion cells or batteries not exceeding 100 Wh, (e.g. Automated External Defibrillators (AED), Nebulizer, Continuous Positive Airway Pressure (CPAP), etc)<br>-Carried by passengers for medical use<br>-Please see the “Spare Batteries” section below for carriage of spare batteries for portable medical electronic devices.",0
11,內含超過 2 克但不超過 8 克鋰金屬電池，或超過 100 Wh 但不超過 160Wh 鋰離子電池的便攜式醫療電子裝置,1,1,,內含超過 2 克但不超過 8 克鋰金屬電池，或超過 100 Wh 但不超過 160Wh 鋰離子電池的便攜式醫療電子裝置<br>-乘客為醫療用途攜帶<br>如要攜帶便攜式醫療電子裝置的備用電池，請參閱以下「備用電池」部分,0
12,"Portable medical electronic devices containing lithium metal batteries exceeding 2 g but not exceeding 8 g, or lithium ion batteries exceeding 100 Wh but not exceeding 160 Wh",1,1,,"Portable medical electronic devices containing lithium metal batteries exceeding 2 g but not exceeding 8 g, or lithium ion batteries exceeding 100 Wh but not exceeding 160 Wh<br>-Carried by passenger for medical use<br>-Please see the “Spare Batteries” section below for carriage of spare batteries for portable medical electronic devices.",0
13,電池供電的便攜式電子吸煙裝置,1,0,電子雪茄、電子煙、電子香煙、個人噴霧器、電子尼古丁輸送系統、電子煙斗,電池供電的便攜式電子吸煙裝置（例如電子香煙、電子煙、電子雪茄、電子煙斗、個人噴霧器、電子尼古丁輸送系統）<br><br>-如裝置以鋰電池推動，每一個電池都必須符合有關限制：<br>*鋰金屬電池的鋰含量不超過 2 克；或<br>*鋰離子電池的額定瓦特小時值不得超過 100 Wh<br>*如有備用電池，請參閱「備用電池」部分。<br><br>-禁止在飛機上為吸煙裝置和/或電池充電<br>必須以適當措施防止發熱部件在飛機上被意外啟動,0
14,Battery-powered portable electronic smoking devices,1,0,"e-cigar, electronic nicotine delivery system, e-cig, e-cigarette, personal vaporizer, e-pipe","Battery-powered portable electronic smoking devices (e.g. e- cigarettes, e-cigs, e-cigars, e-pipes, personal vaporizers, electronic nicotine delivery systems)<br>-if powered by lithium batteries, each battery must comply with relevant restriction:<br>?for lithium metal batteries, a lithium content must not exceed 2 g; or<br>?for lithium ion batteries, a Watt-hour rating must not  exceed 100 Wh;<br>- Recharging of the devices and/or batteries on board the aircraft is forbidden<br>- Measures must be taken to prevent unintentional activation of the heating element while on board the aircraft",0
15,智能行李,2,2,智能行李,-智能行李之鋰電池必須可拆除。若電池不能拆除，該行李不可以寄艙方式登機。如把智能行李寄艙，乘客必須將智能行李之鋰電池拆除及放置在手提行李中攜帶<br>-乘客攜帶登機的内含鋰電池電子裝置及備用鋰電池亦必須符合現行的相關安全規定。參閱「備用電池」及「内含電池的便攜式電子裝置」部分<br>-航空公司可能會對智能行李有額外的要求和限制。乘客如對攜帶智能行李的要求和限制有任何疑問，請在出發前向所乘搭的航空公司查詢,0
